timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1628877856700,4,HTTP Request,200,OK,Fetch Player By Id 2-46,text,true,,268,130,1,1,http://localhost:4000/api/player/47,4,0,1
1628877856750,3,HTTP Request,200,OK,Fetch Player By Id 2-47,text,true,,268,130,1,1,http://localhost:4000/api/player/48,3,0,1
1628877856800,2,HTTP Request,200,OK,Fetch Player By Id 2-48,text,true,,268,130,1,1,http://localhost:4000/api/player/49,2,0,1
1628877856848,2,HTTP Request,200,OK,Fetch Player By Id 2-49,text,true,,268,130,1,1,http://localhost:4000/api/player/50,2,0,1
1628877856900,4,HTTP Request,200,OK,Fetch Player By Id 2-50,text,true,,268,130,1,1,http://localhost:4000/api/player/51,4,0,1
1628877856948,2,HTTP Request,200,OK,Fetch Player By Id 2-51,text,true,,268,130,1,1,http://localhost:4000/api/player/52,2,0,1
1628877856997,2,HTTP Request,200,OK,Fetch Player By Id 2-52,text,true,,268,130,1,1,http://localhost:4000/api/player/53,2,0,1
1628877857049,3,HTTP Request,200,OK,Fetch Player By Id 2-53,text,true,,268,130,1,1,http://localhost:4000/api/player/54,3,0,1
1628877857099,3,HTTP Request,200,OK,Fetch Player By Id 2-54,text,true,,268,130,1,1,http://localhost:4000/api/player/55,3,0,1
1628877857146,1,HTTP Request,200,OK,Fetch Player By Id 2-55,text,true,,268,130,1,1,http://localhost:4000/api/player/56,1,0,0
1628877857197,1,HTTP Request,200,OK,Fetch Player By Id 2-56,text,true,,268,130,1,1,http://localhost:4000/api/player/57,1,0,0
1628877857243,3,HTTP Request,200,OK,Fetch Player By Id 2-57,text,true,,268,130,1,1,http://localhost:4000/api/player/58,3,0,1
1628877857296,2,HTTP Request,200,OK,Fetch Player By Id 2-58,text,true,,268,130,1,1,http://localhost:4000/api/player/59,1,0,0
1628877857345,2,HTTP Request,200,OK,Fetch Player By Id 2-59,text,true,,268,130,1,1,http://localhost:4000/api/player/60,2,0,1
1628877857394,2,HTTP Request,200,OK,Fetch Player By Id 2-60,text,true,,268,130,1,1,http://localhost:4000/api/player/61,2,0,1
1628877857440,2,HTTP Request,200,OK,Fetch Player By Id 2-61,text,true,,268,130,1,1,http://localhost:4000/api/player/62,2,0,0
1628877857493,3,HTTP Request,200,OK,Fetch Player By Id 2-62,text,true,,268,130,1,1,http://localhost:4000/api/player/63,3,0,1
1628877857541,2,HTTP Request,200,OK,Fetch Player By Id 2-63,text,true,,268,130,1,1,http://localhost:4000/api/player/64,2,0,0
1628877857583,3,HTTP Request,200,OK,Fetch Player By Id 2-64,text,true,,268,130,1,1,http://localhost:4000/api/player/65,3,0,1
1628877857638,1,HTTP Request,200,OK,Fetch Player By Id 2-65,text,true,,268,130,1,1,http://localhost:4000/api/player/66,1,0,0
1628877857690,2,HTTP Request,200,OK,Fetch Player By Id 2-66,text,true,,268,130,1,1,http://localhost:4000/api/player/67,2,0,0
1628877857741,2,HTTP Request,200,OK,Fetch Player By Id 2-67,text,true,,268,130,1,1,http://localhost:4000/api/player/68,2,0,0
1628877857793,3,HTTP Request,200,OK,Fetch Player By Id 2-68,text,true,,268,130,1,1,http://localhost:4000/api/player/69,3,0,1
1628877857830,1,HTTP Request,200,OK,Fetch Player By Id 2-69,text,true,,268,130,1,1,http://localhost:4000/api/player/70,1,0,0
1628877857892,3,HTTP Request,200,OK,Fetch Player By Id 2-70,text,true,,268,130,1,1,http://localhost:4000/api/player/71,2,0,1
1628877857936,1,HTTP Request,200,OK,Fetch Player By Id 2-71,text,true,,268,130,1,1,http://localhost:4000/api/player/72,1,0,0
1628877857987,1,HTTP Request,200,OK,Fetch Player By Id 2-72,text,true,,268,130,1,1,http://localhost:4000/api/player/73,1,0,0
